epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.798,1.65876,0.97709,1.08527,0.77435,0.74825,0.75839,0.44002,1.59121,0.78647,1.04858,0.000475757,0.000475757,0.000475757
2,428.81,1.58946,0.81759,1.05177,0.77783,0.76587,0.78496,0.46246,1.55971,0.7475,1.03501,0.000933239,0.000933239,0.000933239
3,640.944,1.57956,0.79815,1.04779,0.76695,0.77385,0.77623,0.46415,1.52015,0.76633,1.02844,0.00137186,0.00137186,0.00137186
4,849.481,1.55669,0.77508,1.03948,0.79449,0.7876,0.79534,0.48636,1.51314,0.70511,1.01533,0.00134412,0.00134412,0.00134412
5,1055.91,1.53628,0.75185,1.03512,0.79243,0.79478,0.80301,0.49373,1.48519,0.68531,1.00667,0.00131582,0.00131582,0.00131582
6,1260.84,1.5218,0.73609,1.02929,0.7951,0.79535,0.80126,0.49088,1.48672,0.67636,1.01111,0.00128753,0.00128753,0.00128753
7,1466.44,1.50388,0.72108,1.02486,0.80681,0.80723,0.81592,0.50866,1.47041,0.66286,1.00498,0.00125923,0.00125923,0.00125923
8,1671.51,1.50173,0.71256,1.02016,0.81196,0.79402,0.81563,0.50368,1.46833,0.6537,1.00182,0.00123094,0.00123094,0.00123094
9,1876.87,1.4982,0.70255,1.01899,0.80792,0.81231,0.82536,0.50915,1.46465,0.66043,1.00589,0.00120265,0.00120265,0.00120265
10,2083.09,1.48718,0.6951,1.0186,0.81598,0.81272,0.8205,0.51692,1.45435,0.64384,1.00087,0.00117435,0.00117435,0.00117435
11,2289.28,1.47768,0.68706,1.01483,0.82639,0.80595,0.82828,0.52341,1.44215,0.63681,0.99353,0.00114606,0.00114606,0.00114606
12,2494.63,1.4731,0.68136,1.01118,0.81514,0.8155,0.82683,0.52448,1.44665,0.63099,0.99533,0.00111776,0.00111776,0.00111776
13,2699.52,1.46635,0.673,1.00838,0.8099,0.81781,0.82439,0.52114,1.43561,0.63136,0.98866,0.00108947,0.00108947,0.00108947
14,2904.38,1.45244,0.6598,1.00542,0.80786,0.82269,0.82759,0.52402,1.43895,0.63219,0.98947,0.00106118,0.00106118,0.00106118
15,3109.75,1.45271,0.65956,1.00391,0.8238,0.82244,0.83919,0.54007,1.4179,0.60629,0.98485,0.00103288,0.00103288,0.00103288
16,3316.23,1.44846,0.65267,1.00363,0.82345,0.81775,0.83818,0.53609,1.42229,0.60665,0.98718,0.00100459,0.00100459,0.00100459
17,3521.1,1.44024,0.64958,1.00039,0.8116,0.82648,0.8344,0.53747,1.40854,0.60581,0.98127,0.000976293,0.000976293,0.000976293
18,3726.16,1.44234,0.64662,1.00303,0.83081,0.81646,0.84018,0.53943,1.40749,0.59846,0.98154,0.000947999,0.000947999,0.000947999
19,3931.37,1.43206,0.63645,1.00111,0.82883,0.81469,0.83222,0.53391,1.40851,0.60305,0.98251,0.000919704,0.000919704,0.000919704
20,4135.93,1.43479,0.63745,0.99898,0.83288,0.81788,0.83124,0.53623,1.40005,0.59486,0.98055,0.00089141,0.00089141,0.00089141
21,4340.25,1.42722,0.63063,0.99721,0.83136,0.81441,0.8324,0.54024,1.39243,0.58878,0.9793,0.000863116,0.000863116,0.000863116
22,4545.68,1.42027,0.62491,0.99472,0.8282,0.81812,0.83931,0.54468,1.39122,0.58523,0.97633,0.000834822,0.000834822,0.000834822
